Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
ABCB4	PFIC-3	MDR3	ENSG00000005471
ABCB4	GBD1	PGY3	ENSG00000005471
ABCB4	GBD1	MDR3	ENSG00000005471
ABCB5	EST422562		ENSG00000004846
ABCB5	ABCB5beta		ENSG00000004846
ABCB5	ABCB5alpha		ENSG00000004846
ABCB6	EST45597		ENSG00000115657
ABCB6	umat		ENSG00000115657
ABCB6	MTABC3		ENSG00000115657
ABCB7	EST140535	ABC7	ENSG00000131269
ABCB7	Atm1p	ABC7	ENSG00000131269
ABCB7	ASAT	ABC7	ENSG00000131269
ABCB8	EST328128		ENSG00000197150
ABCB8	M-ABC1		ENSG00000197150
ABCB8	MABC1		ENSG00000197150
ABCB8	MITOSUR		ENSG00000197150
ABCB9	EST122234		ENSG00000150967
ABCB10	EST20237		ENSG00000135776
ABCB10	M-ABC2		ENSG00000135776
ABCB10	MTABC2		ENSG00000135776
ABCB10P1	M-ABC2	ABCB10P	ENSG00000274099
ABCB10P1	M-ABC2	ABCB10P2	ENSG00000274099
ABCB10P1	MABC2	ABCB10P	ENSG00000274099
ABCB10P1	MABC2	ABCB10P2	ENSG00000274099
ABCB10P3			ENSG00000261524
ABCB10P4			ENSG00000260053
ABCB11	ABC16	BSEP	ENSG00000073734
ABCB11	ABC16	PFIC2	ENSG00000073734
ABCB11	SPGP	BSEP	ENSG00000073734
ABCB11	SPGP	PFIC2	ENSG00000073734
ABCB11	PFIC-2	BSEP	ENSG00000073734
ABCB11	PFIC-2	PFIC2	ENSG00000073734
ABCB11	PGY4	BSEP	ENSG00000073734
ABCB11	PGY4	PFIC2	ENSG00000073734
ABCC1	GS-X	MRP	ENSG00000103222
ABCC1	GS-X	MRP1	ENSG00000103222
ABCC2	DJS	CMOAT	ENSG00000023839
ABCC2	MRP2	CMOAT	ENSG00000023839
ABCC2	cMRP	CMOAT	ENSG00000023839
ABCC3	MRP3		ENSG00000108846
ABCC3	cMOAT2		ENSG00000108846
ABCC3	EST90757		ENSG00000108846
ABCC3	MLP2		ENSG00000108846
ABCC3	MOAT-D		ENSG00000108846
ABCC4	MRP4		ENSG00000125257
ABCC4	EST170205		ENSG00000125257
ABCC4	MOAT-B		ENSG00000125257
ABCC4	MOATB		ENSG00000125257
ABCC5	MRP5		ENSG00000114770
ABCC5	SMRP		ENSG00000114770
ABCC5	EST277145		ENSG00000114770
ABCC5	MOAT-C		ENSG00000114770
ABCC5-AS1			ENSG00000223882
ABCC6	MRP6	ARA	ENSG00000091262
ABCC6	MRP6	PXE	ENSG00000091262
ABCC6	EST349056	ARA	ENSG00000091262
ABCC6	EST349056	PXE	ENSG00000091262
ABCC6	MLP1	ARA	ENSG00000091262
ABCC6	MLP1	PXE	ENSG00000091262
ABCC6	URG7	ARA	ENSG00000091262
ABCC6	URG7	PXE	ENSG00000091262
ABCC6P1			ENSG00000256340
ABCC6P2			ENSG00000255277
ABCC8	HI	SUR	ENSG00000006071
ABCC8	HI	HRINS	ENSG00000006071
ABCC8	PHHI	SUR	ENSG00000006071
ABCC8	PHHI	HRINS	ENSG00000006071
ABCC8	SUR1	SUR	ENSG00000006071
ABCC8	SUR1	HRINS	ENSG00000006071
ABCC8	MRP8	SUR	ENSG00000006071
ABCC8	MRP8	HRINS	ENSG00000006071
ABCC8	ABC36	SUR	ENSG00000006071
ABCC8	ABC36	HRINS	ENSG00000006071
ABCC8	HHF1	SUR	ENSG00000006071
ABCC8	HHF1	HRINS	ENSG00000006071
ABCC8	TNDM2	SUR	ENSG00000006071
ABCC8	TNDM2	HRINS	ENSG00000006071
ABCC9	SUR2		ENSG00000069431
ABCC9	CMD1O		ENSG00000069431
ABCC10	EST182763		ENSG00000124574
ABCC10	MRP7		ENSG00000124574
ABCC10	SIMRP7		ENSG00000124574
ABCC11	MRP8		ENSG00000121270
ABCC12	MRP9		ENSG00000140798
ABCC13	PRED6		ENSG00000243064
ABCC13	C21orf73		ENSG00000243064
ABCC13	ABCC13P		ENSG00000243064
ABCD1	AMN	ALD	ENSG00000101986
ABCD1	ALDP	ALD	ENSG00000101986
ABCD1	adrenoleukodystrophy	ALD	ENSG00000101986
ABCD1P1
ABCD1P2	bA453N3.6		ENSG00000215151
ABCD1P3			ENSG00000261233
ABCD1P4			ENSG00000225293
ABCD1P5			ENSG00000214330
ABCD2	ALDR	ALDL1	ENSG00000173208
ABCD2	ALDRP	ALDL1	ENSG00000173208
ABCD3	PMP70	PXMP1	ENSG00000117528
ABCD3	ZWS2	PXMP1	ENSG00000117528
ABCD4	PMP69	PXMP1L	ENSG00000119688
ABCD4	P70R	PXMP1L	ENSG00000119688
ABCD4	EST352188	PXMP1L	ENSG00000119688
ABCE1	RLI	RNASEL1	ENSG00000164163
ABCE1	RLI	RNASELI	ENSG00000164163
ABCE1	RLI	RNS4I	ENSG00000164163
ABCE1	OABP	RNASEL1	ENSG00000164163
ABCE1	OABP	RNASELI	ENSG00000164163
ABCE1	OABP	RNS4I	ENSG00000164163
ABCE1	RLI1	RNASEL1	ENSG00000164163
ABCE1	RLI1	RNASELI	ENSG00000164163
ABCE1	RLI1	RNS4I	ENSG00000164163
ABCF1	EST123147	ABC50	ENSG00000204574
ABCF1-DT
ABCF2	EST133090		ENSG00000033050
ABCF2	ABC28		ENSG00000033050
ABCF2	M-ABC1		ENSG00000033050
ABCF2	HUSSY-18		ENSG00000033050
ABCF2-H2BK1		ABCF2-H2BE1	ENSG00000285292
ABCF2P1			ENSG00000242159
ABCF2P2			ENSG00000228769
ABCF3	EST201864		ENSG00000161204
ABCG1	ABC8		ENSG00000160179
ABCG2	EST157481		ENSG00000118777
ABCG2	MXR		ENSG00000118777
ABCG2	BCRP		ENSG00000118777
ABCG2	ABCP		ENSG00000118777
ABCG2	CD338		ENSG00000118777
ABCG4	WHITE2		ENSG00000172350
ABCG5	STSL		ENSG00000138075
ABCG8	GBD4		ENSG00000143921
ABHD1	LABH1		ENSG00000143994
ABHD1	FLJ36128		ENSG00000143994
